Postcode Sector,LSOA11CD,IMD_Decile,Latitude,Longitude
NE2 4,E01008394,7.0,54.98271324904192,-1.625863695422959
NE1 4,E01008395,3.0,54.97795236320402,-1.624325129369237
NE2 4,E01008395,3.0,54.97795236320402,-1.624325129369237
NE4 5,E01008395,3.0,54.97795236320402,-1.624325129369237
NE4 6,E01008395,3.0,54.97795236320402,-1.624325129369237
NE2 4,E01008396,3.0,54.97907195037334,-1.633849837948312
NE4 5,E01008396,3.0,54.97907195037334,-1.633849837948312
NE1 4,E01008397,6.0,54.983269036202245,-1.6153004737566743
NE1 7,E01008397,6.0,54.983269036202245,-1.6153004737566743
NE1 8,E01008397,6.0,54.983269036202245,-1.6153004737566743
NE2 4,E01008397,6.0,54.983269036202245,-1.6153004737566743
NE4 5,E01008398,1.0,54.97402069529431,-1.636042919555497
NE4 6,E01008398,1.0,54.97402069529431,-1.636042919555497
NE4 5,E01008399,1.0,54.975420245851,-1.6322581944590049
NE4 6,E01008399,1.0,54.975420245851,-1.6322581944590049
NE158,E01008400,1.0,54.98687700374325,-1.759597471673514
NE159,E01008400,1.0,54.98687700374325,-1.759597471673514
NE159,E01008401,2.0,54.99169252656693,-1.7509984453325924
NE158,E01008402,4.0,54.99097352796876,-1.7362172482144624
NE159,E01008402,4.0,54.99097352796876,-1.7362172482144624
NE159,E01008403,6.0,54.996408590389024,-1.7675938646702325
NE158,E01008404,4.0,54.98149081255653,-1.735002168101347
NE159,E01008405,2.0,54.99934219823032,-1.7575973341716131
NE1 2,E01008406,4.0,54.97578998086863,-1.5970766952961846
NE2 1,E01008406,4.0,54.97578998086863,-1.5970766952961846
NE2 1,E01008407,5.0,54.97931770772206,-1.602860625396514
NE2 1,E01008409,7.0,54.98607940441229,-1.5922529604329632
NE7 7,E01008409,7.0,54.98607940441229,-1.5922529604329632
NE2 1,E01008410,6.0,54.98210013464902,-1.5908943971213132
NE6 5,E01008410,6.0,54.98210013464902,-1.5908943971213132
NE2 1,E01008411,6.0,54.98261995411854,-1.5980022884943763
NE6 5,E01008412,7.0,54.98201551036762,-1.5847775615405966
NE6 5,E01008413,3.0,54.97917180362352,-1.587111079506161
NE156,E01008415,1.0,54.975973067027546,-1.6923986975967382
NE157,E01008415,1.0,54.975973067027546,-1.6923986975967382
